month,year,oilCompanies,quantity000MetricTonnes
December,2022,"ONGC-TATIPAKA,ANDHRA PRADESH",6.46
December,2022,ONGC TOTAL,1510.51
December,2022,HPCL-TOTAL,2785.38
December,2022,"NEL-VADINAR,GUJARAT",1712.08
January,2023,"RIL-(SEZ), JAMNAGAR,GUJARAT",2542.8
January,2023,RIL TOTAL,5390.8
February,2023,"IOCL-BARAUNI,BIHAR",542.97
February,2023,BORL-BINA,657.05
February,2023,BPCL-TOTAL,3356.68
February,2023,"NRL-NUMALIGARH, ASSAM",244.06
February,2023,"ONGC-TATIPAKA,ANDHRA PRADESH",6.12
February,2023,ONGC TOTAL,1399.11
March,2023,"IOCL-HALDIA, WEST BENGAL",742.52
March,2023,IOCL TOTAL,6696.37
April,2021,"IOCL-BARAUNI,BIHAR",471
April,2021,"IOCL-PARADIP,ODISHA",1332
April,2021,CPCL-TOTAL,760
April,2021,"HMEL-GGSR, BATHINDA, PUNJAB",1059
April,2021,"NEL-VADINAR,GUJARAT",1633
April,2021,GRAND TOTAL,19885
May,2021,"IOCL-MATHURA, UTTAR PRADESH",692
May,2021,"IOCL-PANIPAT, HARYANA",1156
May,2021,"IOCL-GUWAHATI,ASSAM",NA
May,2021,"IOCL-PARADIP,ODISHA",1045
May,2021,"HMEL-GGSR, BATHINDA, PUNJAB",1102
May,2021,"RIL,JAMNAGAR,GUJARAT",2837
June,2021,"IOCL-BONGAIGAON,ASSAM",233
June,2021,"IOCL-PARADIP,ODISHA",1034
June,2021,"CPCL-MANALI, TAMILNADU",646
July,2021,"IOCL-BARAUNI,BIHAR",569
July,2021,"IOCL-KOYALI, GUJARAT",1102
July,2021,IOCL TOTAL,5668
July,2021,BPCL-TOTAL,2962
July,2021,"ONGC-TATIPAKA,ANDHRA PRADESH",3
July,2021,HPCL-TOTAL,1898
July,2021,"RIL-(SEZ), JAMNAGAR,GUJARAT",2284
August,2021,"IOCL-BARAUNI,BIHAR",296
August,2021,"IOCL-BONGAIGAON,ASSAM",233
August,2021,IOCL TOTAL,4904
August,2021,"HPCL-MUMBAI,MAHARASHTRA",299
August,2021,GRAND TOTAL,18439
September,2021,"IOCL-PANIPAT, HARYANA",1086
September,2021,"IOCL-GUWAHATI,ASSAM",77
September,2021,IOCL TOTAL,4705
September,2021,"MRPL-MANGALORE,KARNATAKA",988
September,2021,ONGC TOTAL,994
September,2021,"NEL-VADINAR,GUJARAT",1668
October,2021,IOCL TOTAL,5517
October,2021,"BPCL-MUMBAI, MAHARASHTRA",1110
October,2021,"NRL-NUMALIGARH, ASSAM",254
October,2021,"HPCL-VISAKH,ANDHRA PRADESH",853
November,2021,"IOCL-BARAUNI,BIHAR",479
November,2021,"IOCL-PARADIP,ODISHA",1120
November,2021,"BPCL-KOCHI, KERALA",1429
November,2021,"NRL-NUMALIGARH, ASSAM",223
November,2021,"HMEL-GGSR, BATHINDA, PUNJAB",1080
November,2021,HPCL-TOTAL,2445
November,2021,"RIL-(SEZ), JAMNAGAR,GUJARAT",2451
November,2021,RIL TOTAL,5448
November,2021,"NEL-VADINAR,GUJARAT",1688
December,2021,"IOCL-KOYALI, GUJARAT",1293
December,2021,"ONGC-TATIPAKA,ANDHRA PRADESH",7
December,2021,"HPCL-MUMBAI,MAHARASHTRA",674
December,2021,"HMEL-GGSR, BATHINDA, PUNJAB",1118
December,2021,HPCL-TOTAL,2601
December,2021,GRAND TOTAL,21483
January,2022,"IOCL-MATHURA, UTTAR PRADESH",746
January,2022,"IOCL-DIGBOI,ASSAM",59
January,2022,IOCL TOTAL,5844
January,2022,"MRPL-MANGALORE,KARNATAKA",1440
January,2022,RIL TOTAL,5277
January,2022,"NEL-VADINAR,GUJARAT",1733
