month,year,oilCompanies,quantity000MetricTonnes
April,2022,"IOCL-BARAUNI,BIHAR",550.61
April,2022,"IOCL-MATHURA, UTTAR PRADESH",805.13
April,2022,"IOCL-DIGBOI,ASSAM",58.03
April,2022,"IOCL-BONGAIGAON,ASSAM",209.04
April,2022,"HPCL-MUMBAI,MAHARASHTRA",731.49
April,2022,"RIL-(SEZ), JAMNAGAR,GUJARAT",2116.64
April,2022,RIL TOTAL,5150.91
May,2022,"CPCL-MANALI, TAMILNADU",1005.44
May,2022,CPCL-TOTAL,1005.44
May,2022,"HMEL-GGSR, BATHINDA, PUNJAB",1111.19
June,2022,"IOCL-MATHURA, UTTAR PRADESH",867.72
June,2022,"IOCL-GUWAHATI,ASSAM",92.08
June,2022,"IOCL-DIGBOI,ASSAM",60.93
June,2022,"CPCL-MANALI, TAMILNADU",972.61
June,2022,"ONGC-TATIPAKA,ANDHRA PRADESH",6.72
June,2022,HPCL-TOTAL,2712.01
July,2022,"IOCL-PANIPAT, HARYANA",1154.63
July,2022,"IOCL-PARADIP,ODISHA",1346.24
July,2022,"CPCL-MANALI, TAMILNADU",975.07
July,2022,"BPCL-KOCHI, KERALA",1423.65
July,2022,"NRL-NUMALIGARH, ASSAM",261.07
July,2022,ONGC TOTAL,1433.34
July,2022,"HPCL-VISAKH,ANDHRA PRADESH",683.83
July,2022,GRAND TOTAL,21423.24
August,2022,"IOCL-GUWAHATI,ASSAM",91.19
August,2022,"IOCL-PARADIP,ODISHA",2.1
August,2022,CPCL-TOTAL,940.43
August,2022,RIL TOTAL,5176.59
September,2022,"IOCL-KOYALI, GUJARAT",1270.87
September,2022,"IOCL-PANIPAT, HARYANA",1153.66
September,2022,CPCL-TOTAL,961.61
September,2022,"BPCL-KOCHI, KERALA",1155.88
September,2022,"MRPL-MANGALORE,KARNATAKA",1329.62
September,2022,ONGC TOTAL,1336.44
September,2022,"HPCL-VISAKH,ANDHRA PRADESH",814.04
September,2022,"RIL-(SEZ), JAMNAGAR,GUJARAT",1838.73
October,2022,BORL-BINA,705.16
October,2022,"HPCL-MUMBAI,MAHARASHTRA",761.39
October,2022,"RIL,JAMNAGAR,GUJARAT",2931.62
November,2022,"IOCL-PANIPAT, HARYANA",699.93
November,2022,"IOCL-GUWAHATI,ASSAM",89.34
November,2022,IOCL TOTAL,5796.21
November,2022,"MRPL-MANGALORE,KARNATAKA",1461.6
November,2022,"HPCL-VISAKH,ANDHRA PRADESH",801.28
November,2022,"HMEL-GGSR, BATHINDA, PUNJAB",978.05
November,2022,"NEL-VADINAR,GUJARAT",25.55
November,2022,GRAND TOTAL,19580.02
December,2022,"IOCL-HALDIA, WEST BENGAL",731.49
December,2022,IOCL TOTAL,6161.15
December,2022,"BPCL-KOCHI, KERALA",1506.63
December,2022,"RIL-(SEZ), JAMNAGAR,GUJARAT",2467.05
December,2022,RIL TOTAL,5307.9
January,2023,"IOCL-KOYALI, GUJARAT",1259.75
January,2023,"IOCL-HALDIA, WEST BENGAL",704.67
January,2023,"IOCL-DIGBOI,ASSAM",62.73
January,2023,"IOCL-BONGAIGAON,ASSAM",253.07
January,2023,"NRL-NUMALIGARH, ASSAM",284.05
January,2023,GRAND TOTAL,22809.58
February,2023,"IOCL-MATHURA, UTTAR PRADESH",740.61
February,2023,"IOCL-PANIPAT, HARYANA",1208.35
February,2023,"BPCL-KOCHI, KERALA",1406.51
February,2023,"RIL,JAMNAGAR,GUJARAT",2575.91
February,2023,"NEL-VADINAR,GUJARAT",1568.22
March,2023,"IOCL-BONGAIGAON,ASSAM",257.73
March,2023,"BPCL-KOCHI, KERALA",1542.02
March,2023,BPCL-TOTAL,3636
March,2023,"NRL-NUMALIGARH, ASSAM",205.02
March,2023,ONGC TOTAL,1507.19
March,2023,"HPCL-MUMBAI,MAHARASHTRA",873.83
March,2023,"HPCL-VISAKH,ANDHRA PRADESH",874.03
April,2021,BORL-BINA,648
April,2021,"NRL-NUMALIGARH, ASSAM",221
April,2021,"ONGC-TATIPAKA,ANDHRA PRADESH",7
April,2021,ONGC TOTAL,1107
April,2021,"HPCL-MUMBAI,MAHARASHTRA",41
April,2021,"RIL,JAMNAGAR,GUJARAT",2773
May,2021,"IOCL-KOYALI, GUJARAT",1042
May,2021,"IOCL-HALDIA, WEST BENGAL",624
May,2021,"IOCL-DIGBOI,ASSAM",61
May,2021,"BPCL-KOCHI, KERALA",910
May,2021,BORL-BINA,519
May,2021,"MRPL-MANGALORE,KARNATAKA",961
May,2021,ONGC TOTAL,968
May,2021,"HPCL-VISAKH,ANDHRA PRADESH",737
June,2021,"BPCL-MUMBAI, MAHARASHTRA",1029
June,2021,"BPCL-KOCHI, KERALA",1016
June,2021,"MRPL-MANGALORE,KARNATAKA",1010
June,2021,"HMEL-GGSR, BATHINDA, PUNJAB",1063
June,2021,"RIL-(SEZ), JAMNAGAR,GUJARAT",2530
July,2021,"CPCL-MANALI, TAMILNADU",819
July,2021,BORL-BINA,623
July,2021,"RIL,JAMNAGAR,GUJARAT",2743
July,2021,RIL TOTAL,5027
July,2021,"NEL-VADINAR,GUJARAT",1677
August,2021,"IOCL-MATHURA, UTTAR PRADESH",643
August,2021,"BPCL-MUMBAI, MAHARASHTRA",1286
August,2021,"HMEL-GGSR, BATHINDA, PUNJAB",1112
September,2021,"IOCL-DIGBOI,ASSAM",60
September,2021,"IOCL-BONGAIGAON,ASSAM",219
September,2021,"ONGC-TATIPAKA,ANDHRA PRADESH",7
September,2021,"HMEL-GGSR, BATHINDA, PUNJAB",1079
September,2021,"RIL,JAMNAGAR,GUJARAT",2841
September,2021,"RIL-(SEZ), JAMNAGAR,GUJARAT",2361
October,2021,"IOCL-PANIPAT, HARYANA",1315
October,2021,"IOCL-PARADIP,ODISHA",877
October,2021,"CPCL-MANALI, TAMILNADU",500
October,2021,BPCL-TOTAL,3213
October,2021,"HPCL-MUMBAI,MAHARASHTRA",535
October,2021,"RIL-(SEZ), JAMNAGAR,GUJARAT",2644
November,2021,"IOCL-HALDIA, WEST BENGAL",708
November,2021,"IOCL-GUWAHATI,ASSAM",83
November,2021,"ONGC-TATIPAKA,ANDHRA PRADESH",7
November,2021,"MRPL-MANGALORE,KARNATAKA",1468
December,2021,"IOCL-BARAUNI,BIHAR",602
December,2021,"IOCL-PANIPAT, HARYANA",1298
December,2021,IOCL TOTAL,5905
December,2021,"CPCL-MANALI, TAMILNADU",840
December,2021,CPCL-TOTAL,840
December,2021,"MRPL-MANGALORE,KARNATAKA",1434
December,2021,"RIL,JAMNAGAR,GUJARAT",3019
December,2021,"NEL-VADINAR,GUJARAT",1710
January,2022,"IOCL-GUWAHATI,ASSAM",92
January,2022,CPCL-TOTAL,915
January,2022,"NRL-NUMALIGARH, ASSAM",272
January,2022,"ONGC-TATIPAKA,ANDHRA PRADESH",7
February,2022,"IOCL-GUWAHATI,ASSAM",82
February,2022,IOCL TOTAL,5785
February,2022,CPCL-TOTAL,928
February,2022,"BPCL-MUMBAI, MAHARASHTRA",1236
February,2022,"NEL-VADINAR,GUJARAT",1563
March,2022,"IOCL-PANIPAT, HARYANA",1285
March,2022,"IOCL-DIGBOI,ASSAM",61
March,2022,"IOCL-BONGAIGAON,ASSAM",248
March,2022,"CPCL-MANALI, TAMILNADU",1062
March,2022,BPCL-TOTAL,3493
March,2022,"HPCL-MUMBAI,MAHARASHTRA",711
March,2022,"HMEL-GGSR, BATHINDA, PUNJAB",1092
April,2020,"IOCL-BONGAIGAON,ASSAM",174
April,2020,"BPCL-MUMBAI, MAHARASHTRA",768
April,2020,BPCL-TOTAL,2086
April,2020,"ONGC-TATIPAKA,ANDHRA PRADESH",2
April,2020,"HPCL-VISAKH,ANDHRA PRADESH",774
April,2020,RIL TOTAL,5314
April,2020,GRAND TOTAL,14745
May,2020,"IOCL-BARAUNI,BIHAR",337
May,2020,"IOCL-GUWAHATI,ASSAM",24
May,2020,IOCL TOTAL,4311
May,2020,CPCL-TOTAL,441
May,2020,"NRL-NUMALIGARH, ASSAM",206
May,2020,"RIL,JAMNAGAR,GUJARAT",2762
June,2020,BORL-BINA,387
June,2020,BPCL-TOTAL,2540
June,2020,"HMEL-GGSR, BATHINDA, PUNJAB",785
July,2020,"IOCL-PARADIP,ODISHA",1025
July,2020,CPCL-TOTAL,724
July,2020,BORL-BINA,411
July,2020,ONGC TOTAL,773
July,2020,"RIL,JAMNAGAR,GUJARAT",2830
July,2020,"NEL-VADINAR,GUJARAT",1560
July,2020,GRAND TOTAL,17680
August,2020,"IOCL-KOYALI, GUJARAT",834
August,2020,"IOCL-DIGBOI,ASSAM",56
August,2020,IOCL TOTAL,3950
August,2020,"BPCL-MUMBAI, MAHARASHTRA",828
August,2020,"MRPL-MANGALORE,KARNATAKA",905
September,2020,"IOCL-GUWAHATI,ASSAM",75
September,2020,CPCL-TOTAL,770
September,2020,BORL-BINA,489
September,2020,"HPCL-VISAKH,ANDHRA PRADESH",728
October,2020,ONGC TOTAL,738
October,2020,"HPCL-MUMBAI,MAHARASHTRA",496
October,2020,"HMEL-GGSR, BATHINDA, PUNJAB",1038
November,2020,"CPCL-MANALI, TAMILNADU",729
November,2020,CPCL-TOTAL,729
November,2020,"ONGC-TATIPAKA,ANDHRA PRADESH",7
November,2020,"HPCL-MUMBAI,MAHARASHTRA",612
November,2020,"HPCL-VISAKH,ANDHRA PRADESH",808
November,2020,GRAND TOTAL,20782
December,2020,"IOCL-MATHURA, UTTAR PRADESH",871
December,2020,CPCL-TOTAL,766
December,2020,BPCL-TOTAL,3414
December,2020,"RIL,JAMNAGAR,GUJARAT",2996
December,2020,GRAND TOTAL,21024
January,2021,"NRL-NUMALIGARH, ASSAM",249
January,2021,BPCL-TOTAL,3837
January,2021,ONGC TOTAL,1427
February,2021,"IOCL-BONGAIGAON,ASSAM",196
February,2021,"HPCL-VISAKH,ANDHRA PRADESH",737
March,2021,"IOCL-MATHURA, UTTAR PRADESH",853
March,2021,"IOCL-PARADIP,ODISHA",1362
March,2021,CPCL-TOTAL,964
April,2023,"IOCL-KOYALI, GUJARAT",1121.57
April,2023,"IOCL-HALDIA, WEST BENGAL",706.28
April,2023,"IOCL-GUWAHATI,ASSAM",94
April,2023,"IOCL-BONGAIGAON,ASSAM",249.6
April,2023,CPCL-TOTAL,919.52
April,2023,"BPCL-MUMBAI, MAHARASHTRA",1258.57
April,2023,BPCL-TOTAL,3236.66
April,2023,"NRL-NUMALIGARH, ASSAM",-0
April,2023,"MRPL-MANGALORE,KARNATAKA",1468.92
April,2023,"RIL,JAMNAGAR,GUJARAT",2841.68
May,2023,"IOCL-PARADIP,ODISHA",1272.1
May,2023,IOCL TOTAL,6417.4
May,2023,BPCL-TOTAL,3456.97
May,2023,RIL TOTAL,5647.78
June,2023,"IOCL-BARAUNI,BIHAR",491.92
June,2023,BORL-BINA,579.83
June,2023,"NRL-NUMALIGARH, ASSAM",8.3
June,2023,RIL TOTAL,5037.32
June,2023,GRAND TOTAL,21538.44
July,2023,"IOCL-GUWAHATI,ASSAM",94.73
July,2023,IOCL TOTAL,6013.25
July,2023,"NRL-NUMALIGARH, ASSAM",245.1
July,2023,"ONGC-TATIPAKA,ANDHRA PRADESH",5.38
July,2023,"RIL,JAMNAGAR,GUJARAT",2951.38
August,2023,"IOCL-KOYALI, GUJARAT",1262.85
August,2023,"BPCL-KOCHI, KERALA",1345.9
August,2023,"NRL-NUMALIGARH, ASSAM",256.76
August,2023,"HMEL-GGSR, BATHINDA, PUNJAB",1106.15
August,2023,RIL TOTAL,5478.17
September,2023,"IOCL-HALDIA, WEST BENGAL",325.1
September,2023,"IOCL-GUWAHATI,ASSAM",90.04
September,2023,"IOCL-BONGAIGAON,ASSAM",251.38
September,2023,"NRL-NUMALIGARH, ASSAM",275.95
September,2023,HPCL-TOTAL,2934.57
October,2023,"IOCL-PARADIP,ODISHA",722.08
October,2023,"BPCL-MUMBAI, MAHARASHTRA",740.46
October,2023,BPCL-TOTAL,2994.35
October,2023,HPCL-TOTAL,3012.34
October,2023,RIL TOTAL,4520.59
November,2023,"IOCL-BARAUNI,BIHAR",553.58
November,2023,"IOCL-PARADIP,ODISHA",1260.94
November,2023,BORL-BINA,682.46
November,2023,"HPCL-MUMBAI,MAHARASHTRA",858.19
November,2023,"HPCL-VISAKH,ANDHRA PRADESH",826.45
November,2023,HPCL-TOTAL,2759.06
November,2023,"RIL,JAMNAGAR,GUJARAT",2796.68
November,2023,RIL TOTAL,5013.47
November,2023,"NEL-VADINAR,GUJARAT",1674.6
December,2023,"IOCL-PARADIP,ODISHA",1387.38
December,2023,BPCL-TOTAL,3619.88
December,2023,"MRPL-MANGALORE,KARNATAKA",1558.25
December,2023,"HPCL-MUMBAI,MAHARASHTRA",842.76
December,2023,"RIL,JAMNAGAR,GUJARAT",2784.65
December,2023,RIL TOTAL,5278.44
December,2023,"NEL-VADINAR,GUJARAT",1729.72
January,2024,"IOCL-BARAUNI,BIHAR",517.57
January,2024,"IOCL-KOYALI, GUJARAT",1191.57
January,2024,"IOCL-GUWAHATI,ASSAM",95.74
January,2024,BPCL-TOTAL,3476.48
January,2024,"MRPL-MANGALORE,KARNATAKA",1527.48
February,2024,"IOCL-KOYALI, GUJARAT",1249.94
February,2024,"IOCL-PANIPAT, HARYANA",693.25
February,2024,"IOCL-GUWAHATI,ASSAM",99.02
February,2024,BPCL-TOTAL,3174.59
March,2024,"IOCL-HALDIA, WEST BENGAL",735.72
March,2024,"IOCL-GUWAHATI,ASSAM",113.51
March,2024,"CPCL-MANALI, TAMILNADU",1072.31
March,2024,"NRL-NUMALIGARH, ASSAM",285.78
March,2024,ONGC TOTAL,1527.62
March,2024,"HMEL-GGSR, BATHINDA, PUNJAB",1103.42
March,2024,"NEL-VADINAR,GUJARAT",1728.11
April,2022,"IOCL-HALDIA, WEST BENGAL",706.39
April,2022,"IOCL-PANIPAT, HARYANA",1172.27
April,2022,"NRL-NUMALIGARH, ASSAM",270.72
April,2022,"ONGC-TATIPAKA,ANDHRA PRADESH",6.05
May,2022,"IOCL-HALDIA, WEST BENGAL",712.4
May,2022,"IOCL-BONGAIGAON,ASSAM",182.52
May,2022,"IOCL-PARADIP,ODISHA",1362.51
May,2022,"BPCL-KOCHI, KERALA",1431.85
May,2022,ONGC TOTAL,1421.98
May,2022,RIL TOTAL,5671.18
June,2022,"IOCL-HALDIA, WEST BENGAL",678.74
June,2022,"IOCL-BONGAIGAON,ASSAM",185.65
June,2022,"NRL-NUMALIGARH, ASSAM",240.56
June,2022,"HPCL-MUMBAI,MAHARASHTRA",851.69
June,2022,"HMEL-GGSR, BATHINDA, PUNJAB",1078.48
July,2022,"IOCL-KOYALI, GUJARAT",1303.93
July,2022,"IOCL-DIGBOI,ASSAM",62.85
July,2022,"BPCL-MUMBAI, MAHARASHTRA",689.36
July,2022,BORL-BINA,586.53
July,2022,"MRPL-MANGALORE,KARNATAKA",1428.36
July,2022,HPCL-TOTAL,2669.81
July,2022,"NEL-VADINAR,GUJARAT",1734.8
August,2022,"IOCL-BONGAIGAON,ASSAM",248.88
August,2022,"HPCL-MUMBAI,MAHARASHTRA",766.9
August,2022,HPCL-TOTAL,2342.38
August,2022,"NEL-VADINAR,GUJARAT",1750.8
September,2022,"IOCL-DIGBOI,ASSAM",44.35
April,2023,"IOCL-PARADIP,ODISHA",1187.32
April,2023,"CPCL-MANALI, TAMILNADU",919.52
April,2023,"BPCL-KOCHI, KERALA",1384.56
April,2023,BORL-BINA,593.53
April,2023,"HPCL-MUMBAI,MAHARASHTRA",837.11
April,2023,"HPCL-VISAKH,ANDHRA PRADESH",844.74
April,2023,"HMEL-GGSR, BATHINDA, PUNJAB",1073.1
April,2023,"RIL-(SEZ), JAMNAGAR,GUJARAT",2514.05
April,2023,GRAND TOTAL,21450.62
May,2023,CPCL-TOTAL,941.28
May,2023,ONGC TOTAL,1500.53
May,2023,"RIL,JAMNAGAR,GUJARAT",2882.35
May,2023,"RIL-(SEZ), JAMNAGAR,GUJARAT",2765.42
May,2023,"NEL-VADINAR,GUJARAT",1743.37
May,2023,GRAND TOTAL,22726.56
June,2023,"IOCL-GUWAHATI,ASSAM",92.45
June,2023,"IOCL-DIGBOI,ASSAM",62.73
June,2023,"HPCL-MUMBAI,MAHARASHTRA",809.85
June,2023,"RIL-(SEZ), JAMNAGAR,GUJARAT",2254.06
June,2023,"NEL-VADINAR,GUJARAT",1583.26
July,2023,HPCL-TOTAL,3103.73
July,2023,"RIL-(SEZ), JAMNAGAR,GUJARAT",2564.65
July,2023,"NEL-VADINAR,GUJARAT",1717.65
August,2023,"IOCL-HALDIA, WEST BENGAL",689.55
August,2023,"IOCL-MATHURA, UTTAR PRADESH",680.98
August,2023,"IOCL-DIGBOI,ASSAM",19.81
August,2023,"MRPL-MANGALORE,KARNATAKA",990.47
August,2023,ONGC TOTAL,995.5
August,2023,"HPCL-VISAKH,ANDHRA PRADESH",1104.99
August,2023,"RIL-(SEZ), JAMNAGAR,GUJARAT",2538.72
August,2023,GRAND TOTAL,21924.43
September,2023,IOCL TOTAL,5506.27
September,2023,"BPCL-MUMBAI, MAHARASHTRA",1354.53
September,2023,BORL-BINA,680.2
September,2023,"RIL,JAMNAGAR,GUJARAT",2807.15
September,2023,RIL TOTAL,4793.84
September,2023,"NEL-VADINAR,GUJARAT",1666.73
October,2023,"IOCL-KOYALI, GUJARAT",1279.38
October,2023,"IOCL-MATHURA, UTTAR PRADESH",852.62
October,2023,"IOCL-GUWAHATI,ASSAM",0.14
October,2023,"IOCL-DIGBOI,ASSAM",66.2
October,2023,IOCL TOTAL,5656.35
October,2023,"MRPL-MANGALORE,KARNATAKA",1354.58
November,2023,"IOCL-HALDIA, WEST BENGAL",692.39
November,2023,"CPCL-MANALI, TAMILNADU",1001.04
November,2023,"BPCL-MUMBAI, MAHARASHTRA",927.63
November,2023,"BPCL-KOCHI, KERALA",1506.98
November,2023,"RIL-(SEZ), JAMNAGAR,GUJARAT",2216.79
December,2023,"IOCL-BARAUNI,BIHAR",597.97
December,2023,"IOCL-KOYALI, GUJARAT",1330.24
December,2023,"IOCL-HALDIA, WEST BENGAL",726.88
December,2023,"IOCL-PANIPAT, HARYANA",1246.48
December,2023,CPCL-TOTAL,820.5
December,2023,GRAND TOTAL,22686.73
January,2024,"IOCL-HALDIA, WEST BENGAL",742.02
January,2024,"IOCL-DIGBOI,ASSAM",68.88
January,2024,BORL-BINA,731.36
January,2024,RIL TOTAL,5582.72
February,2024,IOCL TOTAL,5630.93
February,2024,"CPCL-MANALI, TAMILNADU",1013.93
February,2024,"ONGC-TATIPAKA,ANDHRA PRADESH",5.64
February,2024,"MRPL-MANGALORE,KARNATAKA",1462.33
February,2024,ONGC TOTAL,1467.97
February,2024,"RIL-(SEZ), JAMNAGAR,GUJARAT",2192.13
March,2024,"IOCL-BARAUNI,BIHAR",605.82
March,2024,"IOCL-BONGAIGAON,ASSAM",252.98
March,2024,IOCL TOTAL,6558.95
March,2024,"BPCL-KOCHI, KERALA",1556.77
March,2024,BORL-BINA,631.74
March,2024,"HPCL-MUMBAI,MAHARASHTRA",544.61
March,2024,"HPCL-VISAKH,ANDHRA PRADESH",1322.52
March,2024,RIL TOTAL,5578.73
March,2024,GRAND TOTAL,23372.1
April,2022,"IOCL-KOYALI, GUJARAT",1317.97
April,2022,"IOCL-PARADIP,ODISHA",1327.97
April,2022,IOCL TOTAL,6237.26
April,2022,BORL-BINA,684.49
April,2022,"RIL,JAMNAGAR,GUJARAT",3034.27
April,2022,GRAND TOTAL,21579.61
May,2022,"IOCL-BARAUNI,BIHAR",584.47
May,2022,"IOCL-KOYALI, GUJARAT",1358.94
May,2022,"IOCL-GUWAHATI,ASSAM",93.84
May,2022,"IOCL-DIGBOI,ASSAM",62.26
May,2022,"BPCL-MUMBAI, MAHARASHTRA",1256.55
May,2022,BORL-BINA,675.73
May,2022,BPCL-TOTAL,3364.13
May,2022,"MRPL-MANGALORE,KARNATAKA",1415.2
May,2022,"HPCL-VISAKH,ANDHRA PRADESH",802.67
May,2022,GRAND TOTAL,22643.9
June,2022,CPCL-TOTAL,972.61
June,2022,"BPCL-MUMBAI, MAHARASHTRA",881.71
June,2022,"HPCL-VISAKH,ANDHRA PRADESH",781.84
June,2022,"RIL-(SEZ), JAMNAGAR,GUJARAT",2408.11
July,2022,"IOCL-HALDIA, WEST BENGAL",722.08
July,2022,"IOCL-GUWAHATI,ASSAM",93.18
July,2022,CPCL-TOTAL,975.07
July,2022,"ONGC-TATIPAKA,ANDHRA PRADESH",4.98
July,2022,"RIL-(SEZ), JAMNAGAR,GUJARAT",2549.47
July,2022,RIL TOTAL,5482.43
August,2022,"IOCL-BARAUNI,BIHAR",590.38
August,2022,"IOCL-KOYALI, GUJARAT",1277.89
August,2022,"IOCL-MATHURA, UTTAR PRADESH",649.6
August,2022,"IOCL-DIGBOI,ASSAM",61.16
August,2022,IOCL TOTAL,4836.86
August,2022,"BPCL-MUMBAI, MAHARASHTRA",1246.63
August,2022,"NRL-NUMALIGARH, ASSAM",264.33
August,2022,ONGC TOTAL,1186.14
September,2022,"IOCL-GUWAHATI,ASSAM",86.65
September,2022,"IOCL-PARADIP,ODISHA",274.67
September,2022,"ONGC-TATIPAKA,ANDHRA PRADESH",6.82
September,2022,"HPCL-MUMBAI,MAHARASHTRA",786.46
September,2022,"HMEL-GGSR, BATHINDA, PUNJAB",932.59
September,2022,HPCL-TOTAL,2533.1
September,2022,"RIL,JAMNAGAR,GUJARAT",2784.11
September,2022,"NEL-VADINAR,GUJARAT",1692.16
October,2022,"IOCL-BARAUNI,BIHAR",568.94
October,2022,"IOCL-PANIPAT, HARYANA",1184.84
October,2022,"IOCL-GUWAHATI,ASSAM",93.19
October,2022,"CPCL-MANALI, TAMILNADU",723.13
October,2022,"HMEL-GGSR, BATHINDA, PUNJAB",1114.49
November,2022,"IOCL-BARAUNI,BIHAR",573.35
November,2022,"IOCL-MATHURA, UTTAR PRADESH",836.84
November,2022,"BPCL-MUMBAI, MAHARASHTRA",1216.45
November,2022,"BPCL-KOCHI, KERALA",1380.82
November,2022,BORL-BINA,691.93
November,2022,"RIL-(SEZ), JAMNAGAR,GUJARAT",2677.79
December,2022,"IOCL-DIGBOI,ASSAM",61.96
December,2022,CPCL-TOTAL,960.42
December,2022,"BPCL-MUMBAI, MAHARASHTRA",1344.11
December,2022,BORL-BINA,712.61
December,2022,"MRPL-MANGALORE,KARNATAKA",1504.05
January,2023,"IOCL-MATHURA, UTTAR PRADESH",805.76
January,2023,"IOCL-PANIPAT, HARYANA",1334.66
January,2023,IOCL TOTAL,6541.94
January,2023,"BPCL-KOCHI, KERALA",1533.08
January,2023,BPCL-TOTAL,3601.99
January,2023,"HPCL-MUMBAI,MAHARASHTRA",837.69
January,2023,HPCL-TOTAL,2777.96
February,2023,"IOCL-KOYALI, GUJARAT",1212.84
February,2023,"IOCL-HALDIA, WEST BENGAL",665.21
February,2023,IOCL TOTAL,5938.4
February,2023,"MRPL-MANGALORE,KARNATAKA",1392.99
February,2023,"HPCL-MUMBAI,MAHARASHTRA",803.65
February,2023,"HPCL-VISAKH,ANDHRA PRADESH",745.84
February,2023,HPCL-TOTAL,2557.5
February,2023,"RIL-(SEZ), JAMNAGAR,GUJARAT",2280.04
February,2023,RIL TOTAL,4855.94
March,2023,"IOCL-KOYALI, GUJARAT",1346.06
March,2023,"IOCL-MATHURA, UTTAR PRADESH",897.88
March,2023,"IOCL-PANIPAT, HARYANA",1297.96
March,2023,"BPCL-MUMBAI, MAHARASHTRA",1358.27
March,2023,"ONGC-TATIPAKA,ANDHRA PRADESH",4.94
March,2023,"HMEL-GGSR, BATHINDA, PUNJAB",1110.38
March,2023,HPCL-TOTAL,2858.24
March,2023,RIL TOTAL,5359.75
April,2021,"IOCL-MATHURA, UTTAR PRADESH",819
April,2021,"BPCL-MUMBAI, MAHARASHTRA",1225
April,2021,"HPCL-VISAKH,ANDHRA PRADESH",826
April,2021,RIL TOTAL,5021
May,2021,"IOCL-BARAUNI,BIHAR",533
May,2021,CPCL-TOTAL,629
May,2021,HPCL-TOTAL,1958
May,2021,"RIL-(SEZ), JAMNAGAR,GUJARAT",2678
May,2021,RIL TOTAL,5515
May,2021,GRAND TOTAL,18970
June,2021,"IOCL-GUWAHATI,ASSAM",NA
June,2021,"IOCL-DIGBOI,ASSAM",59
June,2021,BPCL-TOTAL,2471
June,2021,"ONGC-TATIPAKA,ANDHRA PRADESH",6
June,2021,ONGC TOTAL,1015
June,2021,"RIL,JAMNAGAR,GUJARAT",2690
July,2021,"IOCL-HALDIA, WEST BENGAL",644
July,2021,"IOCL-MATHURA, UTTAR PRADESH",665
July,2021,"IOCL-PARADIP,ODISHA",1059
July,2021,"BPCL-MUMBAI, MAHARASHTRA",1253
July,2021,"BPCL-KOCHI, KERALA",1087
July,2021,"MRPL-MANGALORE,KARNATAKA",1105
August,2021,"IOCL-KOYALI, GUJARAT",1090
August,2021,"IOCL-HALDIA, WEST BENGAL",709
August,2021,"BPCL-KOCHI, KERALA",1087
August,2021,BORL-BINA,598
August,2021,"ONGC-TATIPAKA,ANDHRA PRADESH",7
August,2021,"RIL,JAMNAGAR,GUJARAT",2873
August,2021,RIL TOTAL,5110
September,2021,"CPCL-MANALI, TAMILNADU",497
September,2021,"BPCL-MUMBAI, MAHARASHTRA",957
September,2021,BORL-BINA,579
September,2021,"NRL-NUMALIGARH, ASSAM",238
September,2021,"HPCL-MUMBAI,MAHARASHTRA",411
September,2021,HPCL-TOTAL,2037
September,2021,RIL TOTAL,5203
October,2021,"IOCL-BARAUNI,BIHAR",427
October,2021,"IOCL-KOYALI, GUJARAT",939
October,2021,"IOCL-DIGBOI,ASSAM",61
October,2021,BORL-BINA,658
October,2021,"ONGC-TATIPAKA,ANDHRA PRADESH",6
October,2021,"MRPL-MANGALORE,KARNATAKA",1463
October,2021,"HMEL-GGSR, BATHINDA, PUNJAB",1113
October,2021,HPCL-TOTAL,2501
October,2021,"RIL,JAMNAGAR,GUJARAT",3110
November,2021,"IOCL-PANIPAT, HARYANA",1340
November,2021,"IOCL-DIGBOI,ASSAM",61
November,2021,CPCL-TOTAL,816
November,2021,"HPCL-MUMBAI,MAHARASHTRA",545
November,2021,GRAND TOTAL,21483
December,2021,"IOCL-MATHURA, UTTAR PRADESH",766
December,2021,BPCL-TOTAL,3321
December,2021,ONGC TOTAL,1441
December,2021,"HPCL-VISAKH,ANDHRA PRADESH",809
December,2021,RIL TOTAL,5529
January,2022,"IOCL-KOYALI, GUJARAT",1273
January,2022,"IOCL-HALDIA, WEST BENGAL",301
January,2022,"CPCL-MANALI, TAMILNADU",915
January,2022,"BPCL-KOCHI, KERALA",1450
January,2022,"HPCL-MUMBAI,MAHARASHTRA",852
January,2022,"RIL,JAMNAGAR,GUJARAT",3042
February,2022,"ONGC-TATIPAKA,ANDHRA PRADESH",6
February,2022,"MRPL-MANGALORE,KARNATAKA",1392
February,2022,ONGC TOTAL,1399
February,2022,HPCL-TOTAL,2519
March,2022,"IOCL-MATHURA, UTTAR PRADESH",884
March,2022,"IOCL-GUWAHATI,ASSAM",93
March,2022,IOCL TOTAL,6636
March,2022,"ONGC-TATIPAKA,ANDHRA PRADESH",6
March,2022,"HPCL-VISAKH,ANDHRA PRADESH",825
March,2022,HPCL-TOTAL,2628
April,2020,"IOCL-HALDIA, WEST BENGAL",305
April,2020,"NRL-NUMALIGARH, ASSAM",170
April,2020,ONGC TOTAL,673
May,2020,"IOCL-KOYALI, GUJARAT",769
May,2020,"IOCL-MATHURA, UTTAR PRADESH",730
May,2020,"IOCL-BONGAIGAON,ASSAM",196
May,2020,"CPCL-MANALI, TAMILNADU",441
June,2020,"IOCL-KOYALI, GUJARAT",1041
